payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed,valid_date
T66232859527,15015,12.99,2025-03-06,Premium,2025-05-05,active,True,60 days
T66232859527,15015,12.99,2025-03-06,Premium,2025-05-05,active,True,60 days
T80661768691,15016,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T94004614165,15016,12.99,2025-01-03,Premium,2025-03-04,active,True,60 days
T74390334266,15016,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T57975160415,15017,7.99,2024-11-01,Standard,2024-12-01,churned,False,30 days
T56360377263,15018,7.99,2024-11-01,Standard,2024-12-01,active,True,30 days
T77936566461,15018,7.99,2024-12-03,Standard,2025-01-02,active,True,30 days
T72332071303,15018,7.99,2025-01-04,Standard,2025-02-03,churned,False,30 days
T51016615944,15019,7.99,2024-11-01,Standard,2024-12-01,churned,False,30 days
T67866895253,15020,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T68146927813,15020,12.99,2025-01-01,Premium,2025-03-02,active,True,60 days
T60452605066,15020,12.99,2025-03-07,Premium,2025-05-06,active,True,60 days
T55271788119,15021,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T65027241832,15021,7.99,2025-01-04,Standard,2025-02-03,active,True,30 days
T80694921165,15021,7.99,2025-02-07,Standard,2025-03-09,active,True,30 days
T78780773096,15021,7.99,2025-03-11,Standard,2025-04-10,active,True,30 days
T96163605526,15022,7.99,2024-11-01,Standard,2024-12-01,active,True,30 days
T52784926787,15022,7.99,2024-12-06,Standard,2025-01-05,active,True,30 days
T96681277563,15022,7.99,2025-01-09,Standard,2025-02-08,active,True,30 days
T50643057417,15022,7.99,2025-02-10,Standard,2025-03-12,churned,False,30 days
T75985654279,15023,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T61688474355,15023,12.99,2025-01-04,Premium,2025-03-05,active,True,60 days
T97221161916,15023,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T66483474111,15024,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T85150626520,15024,4.99,2024-12-07,Student Plan,2025-01-06,active,True,30 days
T84819416018,15024,4.99,2025-01-09,Student Plan,2025-02-08,active,True,30 days
T67806285433,15024,4.99,2025-02-10,Student Plan,2025-03-12,active,True,30 days
T68397112337,15024,4.99,2025-03-14,Student Plan,2025-04-13,active,True,30 days
T68397112337,15024,4.99,2025-03-14,Student Plan,2025-04-13,active,True,30 days
T97930083266,15025,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T67196030676,15025,7.99,2025-01-04,Standard,2025-02-03,active,True,30 days
T67175758511,15025,12.99,2025-02-07,Premium,2025-04-08,active,True,60 days
T70379301000,15026,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T52518789746,15026,4.99,2024-12-05,Student Plan,2025-01-04,active,True,30 days
T99417920901,15026,7.99,2025-01-05,Standard,2025-02-04,active,True,30 days
T68856136672,15026,7.99,2025-02-05,Standard,2025-03-07,active,True,30 days
T96668412107,15026,7.99,2025-03-12,Standard,2025-04-11,active,True,30 days
T79984546142,15027,7.99,2024-11-02,Standard,2024-12-02,active,True,30 days
T92633715807,15027,7.99,2024-12-07,Standard,2025-01-06,active,True,30 days
T86593212078,15027,7.99,2025-01-11,Standard,2025-02-10,active,True,30 days
T92161901626,15027,7.99,2025-02-11,Standard,2025-03-13,active,True,30 days
T71981155677,15027,7.99,2025-03-14,Standard,2025-04-13,active,True,30 days
T78725537465,15028,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T81397052452,15028,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T68763503568,15028,12.99,2025-03-09,Premium,2025-05-08,active,True,60 days
T55487840278,15029,12.99,2024-11-02,Premium,2025-01-01,churned,False,60 days
T92726546347,15030,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T70469808995,15030,12.99,2025-01-04,Premium,2025-03-05,active,True,60 days
T98026892064,15030,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T57676903221,15031,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T77860827886,15031,4.99,2025-01-03,Student Plan,2025-02-02,active,True,30 days
T57103732483,15031,4.99,2025-02-06,Student Plan,2025-03-08,active,True,30 days
T66441065397,15031,7.99,2025-03-12,Standard,2025-04-11,active,True,30 days
T53474702305,15032,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T94238238916,15032,4.99,2024-12-03,Student Plan,2025-01-02,active,True,30 days
T67528257762,15032,4.99,2025-01-05,Student Plan,2025-02-04,churned,False,30 days
T72502666376,15033,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T52471828758,15033,4.99,2024-12-04,Student Plan,2025-01-03,churned,False,30 days
T91909968669,15034,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T93719013737,15034,12.99,2025-01-06,Premium,2025-03-07,churned,False,60 days
T72962955118,15035,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T84655403715,15035,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30 days
T55272869479,15035,4.99,2025-01-07,Student Plan,2025-02-06,active,True,30 days
T84378451466,15035,4.99,2025-02-10,Student Plan,2025-03-12,churned,False,30 days
T92561686843,15036,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T92561686843,15036,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T74248672135,15036,7.99,2025-01-03,Standard,2025-02-02,active,True,30 days
T65730464849,15036,7.99,2025-02-06,Standard,2025-03-08,active,True,30 days
T83663003005,15036,7.99,2025-03-10,Standard,2025-04-09,churned,False,30 days
T72812536200,15037,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T67695357670,15037,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T96333661941,15037,12.99,2025-03-11,Premium,2025-05-10,churned,False,60 days
T66496595611,15038,12.99,2024-11-02,Premium,2025-01-01,churned,False,60 days
T98064240132,15039,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T63904739935,15039,4.99,2024-12-03,Student Plan,2025-01-02,active,True,30 days
T84813215538,15039,4.99,2025-01-07,Student Plan,2025-02-06,active,True,30 days
T62240940912,15039,4.99,2025-02-11,Student Plan,2025-03-13,active,True,30 days
T50214298069,15040,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30 days
T72317179689,15040,4.99,2024-12-05,Student Plan,2025-01-04,active,True,30 days
T64325794452,15040,4.99,2025-01-06,Student Plan,2025-02-05,churned,False,30 days
T63497963038,15041,4.99,2024-11-02,Student Plan,2024-12-02,churned,False,30 days
T97528294770,15042,7.99,2024-11-02,Standard,2024-12-02,churned,False,30 days
T60207584881,15043,12.99,2024-11-02,Premium,2025-01-01,active,True,60 days
T81127555222,15043,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T90082053626,15043,12.99,2025-03-12,Premium,2025-05-11,active,True,60 days
T68377216361,15044,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T87289570030,15044,12.99,2024-12-07,Premium,2025-02-05,active,True,60 days
T73179071675,15044,12.99,2025-02-08,Premium,2025-04-09,active,True,60 days
T88269301192,15045,12.99,2024-11-03,Premium,2025-01-02,active,True,60 days
T63932302228,15045,7.99,2025-01-07,Standard,2025-02-06,active,True,30 days
T66340077589,15045,7.99,2025-02-07,Standard,2025-03-09,churned,False,30 days
T55609199570,15046,7.99,2024-11-03,Standard,2024-12-03,active,True,30 days
T86805260982,15046,7.99,2024-12-04,Standard,2025-01-03,active,True,30 days
T53591292629,15046,7.99,2025-01-07,Standard,2025-02-06,active,True,30 days
T76311706696,15046,7.99,2025-02-10,Standard,2025-03-12,active,True,30 days
T89312411240,15046,7.99,2025-03-15,Standard,2025-04-14,churned,False,30 days
T78405054909,15047,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T51401540816,15047,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30 days
T99792714573,15047,7.99,2025-01-08,Standard,2025-02-07,active,True,30 days
T57943538039,15047,4.99,2025-02-09,Student Plan,2025-03-11,active,True,30 days
T75742059771,15048,12.99,2024-11-03,Premium,2025-01-02,active,True,60 days
T85757668832,15048,12.99,2025-01-03,Premium,2025-03-04,active,True,60 days
T75899708567,15048,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T91913761575,15049,4.99,2024-11-03,Student Plan,2024-12-03,churned,False,30 days
T52288993507,15050,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T56106328052,15050,7.99,2024-12-08,Standard,2025-01-07,active,True,30 days
T62311290532,15050,7.99,2025-01-08,Standard,2025-02-07,active,True,30 days
T51805178390,15050,7.99,2025-02-08,Standard,2025-03-10,active,True,30 days
T72864473869,15050,7.99,2025-03-15,Standard,2025-04-14,active,True,30 days
T56967252535,15051,12.99,2024-11-03,Premium,2025-01-02,active,True,60 days
T55886759459,15051,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T92821004664,15051,12.99,2025-03-11,Premium,2025-05-10,churned,False,60 days
T61837910430,15052,12.99,2024-11-03,Premium,2025-01-02,churned,False,60 days
T98014025266,15053,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T69234853564,15053,4.99,2024-12-07,Student Plan,2025-01-06,active,True,30 days
T90277140177,15053,4.99,2025-01-11,Student Plan,2025-02-10,active,True,30 days
T95618519247,15053,4.99,2025-02-13,Student Plan,2025-03-15,active,True,30 days
T76004827492,15054,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T80424531244,15054,12.99,2024-12-04,Premium,2025-02-02,active,True,60 days
T81277074466,15054,7.99,2025-02-07,Standard,2025-03-09,churned,False,30 days
T50444135445,15055,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T78729095192,15055,4.99,2024-12-04,Student Plan,2025-01-03,active,True,30 days
T78473076460,15055,4.99,2025-01-08,Student Plan,2025-02-07,active,True,30 days
T74584343528,15055,12.99,2025-02-09,Premium,2025-04-10,active,True,60 days
T57726091135,15056,12.99,2024-11-03,Premium,2025-01-02,active,True,60 days
T88697505621,15056,12.99,2025-01-07,Premium,2025-03-08,active,True,60 days
T69209587134,15056,12.99,2025-03-11,Premium,2025-05-10,active,True,60 days
T79325599536,15057,7.99,2024-11-03,Standard,2024-12-03,active,True,30 days
T89981661830,15057,7.99,2024-12-05,Standard,2025-01-04,churned,False,30 days
T86558682561,15058,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T53137616104,15058,4.99,2024-12-08,Student Plan,2025-01-07,active,True,30 days
T88972437628,15058,4.99,2025-01-08,Student Plan,2025-02-07,active,True,30 days
T57531023891,15058,4.99,2025-02-09,Student Plan,2025-03-11,active,True,30 days
T95754382847,15058,4.99,2025-03-12,Student Plan,2025-04-11,active,True,30 days
T50405099742,15059,4.99,2024-11-03,Student Plan,2024-12-03,churned,False,30 days
T72047314676,15060,7.99,2024-11-03,Standard,2024-12-03,active,True,30 days
T75989644088,15060,12.99,2024-12-06,Premium,2025-02-04,active,True,60 days
T85343563447,15060,12.99,2025-02-06,Premium,2025-04-07,active,True,60 days
T78273475530,15061,7.99,2024-11-03,Standard,2024-12-03,churned,False,30 days
T99860163751,15062,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T91993295764,15062,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30 days
T74337627560,15062,4.99,2025-01-08,Student Plan,2025-02-07,active,True,30 days
T63388581945,15062,7.99,2025-02-12,Standard,2025-03-14,active,True,30 days
T76123231901,15062,7.99,2025-03-15,Standard,2025-04-14,active,True,30 days
T99159318869,15063,7.99,2024-11-03,Standard,2024-12-03,active,True,30 days
T74354333593,15063,7.99,2024-12-06,Standard,2025-01-05,active,True,30 days
T61106710058,15063,7.99,2025-01-09,Standard,2025-02-08,active,True,30 days
T75113004872,15063,7.99,2025-02-11,Standard,2025-03-13,active,True,30 days
T68287936906,15064,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30 days
T98755286428,15064,4.99,2024-12-04,Student Plan,2025-01-03,active,True,30 days
T71385666288,15064,4.99,2025-01-06,Student Plan,2025-02-05,active,True,30 days
T77584505721,15064,4.99,2025-02-06,Student Plan,2025-03-08,active,True,30 days
T85461404642,15064,12.99,2025-03-09,Premium,2025-05-08,active,True,60 days
T66593699955,15065,7.99,2024-11-03,Standard,2024-12-03,active,True,30 days
T67628274194,15065,7.99,2024-12-06,Standard,2025-01-05,active,True,30 days
T55378295775,15065,7.99,2025-01-10,Standard,2025-02-09,active,True,30 days
T69743746630,15065,7.99,2025-02-13,Standard,2025-03-15,active,True,30 days
T64055278498,15066,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30 days
T52949499933,15067,7.99,2024-11-04,Standard,2024-12-04,active,True,30 days
T90013702399,15067,7.99,2024-12-07,Standard,2025-01-06,churned,False,30 days
T94255422726,15068,7.99,2024-11-04,Standard,2024-12-04,churned,False,30 days
T74031390138,15069,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T77885228184,15069,12.99,2025-01-07,Premium,2025-03-08,active,True,60 days
T73813122108,15069,12.99,2025-03-10,Premium,2025-05-09,active,True,60 days
T63233527950,15070,4.99,2024-11-04,Student Plan,2024-12-04,active,True,30 days
T96200642612,15070,4.99,2024-12-09,Student Plan,2025-01-08,churned,False,30 days
T69571925002,15071,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30 days
T97238400690,15072,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T70841921489,15072,12.99,2025-01-08,Premium,2025-03-09,active,True,60 days
T72358968207,15072,12.99,2025-03-11,Premium,2025-05-10,active,True,60 days
T93652832065,15073,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30 days
T93428341303,15074,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T90324769698,15074,12.99,2025-01-07,Premium,2025-03-08,active,True,60 days
T64071742686,15074,12.99,2025-03-12,Premium,2025-05-11,active,True,60 days
T88399413063,15075,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T52756146879,15075,12.99,2025-01-05,Premium,2025-03-06,active,True,60 days
T92465906919,15075,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T82006286858,15076,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30 days
T55182362116,15077,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T58572445917,15077,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T59481202987,15077,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T83878440078,15078,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T59698198708,15078,12.99,2025-01-08,Premium,2025-03-09,active,True,60 days
T53602482829,15078,12.99,2025-03-12,Premium,2025-05-11,active,True,60 days
T96893817426,15079,7.99,2024-11-04,Standard,2024-12-04,churned,False,30 days
T57239694070,15080,12.99,2024-11-04,Premium,2025-01-03,active,True,60 days
T63596645640,15080,12.99,2025-01-04,Premium,2025-03-05,active,True,60 days
T84018841108,15080,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T67960349478,15081,4.99,2024-11-04,Student Plan,2024-12-04,active,True,30 days
T75565961576,15081,4.99,2024-12-07,Student Plan,2025-01-06,active,True,30 days
T78016300235,15081,12.99,2025-01-10,Premium,2025-03-11,active,True,60 days
T68237251590,15081,12.99,2025-03-15,Premium,2025-05-14,active,True,60 days
T94986312424,15082,4.99,2024-11-04,Student Plan,2024-12-04,active,True,30 days
T81402659958,15082,7.99,2024-12-09,Standard,2025-01-08,active,True,30 days
T66500701354,15082,12.99,2025-01-12,Premium,2025-03-13,active,True,60 days
T98634679920,15083,7.99,2024-11-04,Standard,2024-12-04,active,True,30 days
T53172332205,15083,7.99,2024-12-09,Standard,2025-01-08,active,True,30 days
T92876515932,15083,7.99,2025-01-12,Standard,2025-02-11,active,True,30 days
T99852511965,15083,7.99,2025-02-13,Standard,2025-03-15,active,True,30 days
T97911219538,15084,7.99,2024-11-05,Standard,2024-12-05,churned,False,30 days
T74267296906,15085,12.99,2024-11-05,Premium,2025-01-04,active,True,60 days
T92949495921,15085,7.99,2025-01-09,Standard,2025-02-08,active,True,30 days
T74060164978,15085,12.99,2025-02-13,Premium,2025-04-14,active,True,60 days
T85286742558,15086,4.99,2024-11-05,Student Plan,2024-12-05,active,True,30 days
T95665797407,15086,4.99,2024-12-08,Student Plan,2025-01-07,churned,False,30 days
T66727178342,15087,7.99,2024-11-05,Standard,2024-12-05,active,True,30 days
T85231216395,15087,7.99,2024-12-06,Standard,2025-01-05,active,True,30 days
T68103103486,15087,7.99,2025-01-07,Standard,2025-02-06,active,True,30 days
T87814036068,15087,7.99,2025-02-07,Standard,2025-03-09,churned,False,30 days
T90340232804,15088,7.99,2024-11-05,Standard,2024-12-05,active,True,30 days
T69827565924,15088,7.99,2024-12-09,Standard,2025-01-08,active,True,30 days
T57707235104,15088,7.99,2025-01-09,Standard,2025-02-08,active,True,30 days
T56329570231,15088,7.99,2025-02-12,Standard,2025-03-14,active,True,30 days
T69924820646,15089,7.99,2024-11-05,Standard,2024-12-05,active,True,30 days
T80281259627,15089,7.99,2024-12-08,Standard,2025-01-07,active,True,30 days
T77310042925,15089,7.99,2025-01-08,Standard,2025-02-07,active,True,30 days
T81782435999,15089,7.99,2025-02-10,Standard,2025-03-12,churned,False,30 days
T87129661959,15090,12.99,2024-11-05,Premium,2025-01-04,active,True,60 days
T80934816930,15090,12.99,2025-01-08,Premium,2025-03-09,active,True,60 days
T69595131556,15090,12.99,2025-03-10,Premium,2025-05-09,active,True,60 days
T72028034723,15091,4.99,2024-11-05,Student Plan,2024-12-05,churned,False,30 days
T57923234171,15092,7.99,2024-11-05,Standard,2024-12-05,active,True,30 days
T83021746373,15092,7.99,2024-12-06,Standard,2025-01-05,active,True,30 days
T94576775601,15092,7.99,2025-01-07,Standard,2025-02-06,active,True,30 days
T85511011463,15092,7.99,2025-02-07,Standard,2025-03-09,active,True,30 days
T97184496697,15092,7.99,2025-03-10,Standard,2025-04-09,churned,False,30 days
T73396126660,15093,12.99,2024-11-05,Premium,2025-01-04,active,True,60 days
T57925793580,15093,12.99,2025-01-09,Premium,2025-03-10,churned,False,60 days
T77840284930,15094,12.99,2024-11-05,Premium,2025-01-04,active,True,60 days
T61860980019,15094,7.99,2025-01-07,Standard,2025-02-06,churned,False,30 days
T76974502102,15095,12.99,2024-11-05,Premium,2025-01-04,active,True,60 days
T50781590799,15095,12.99,2025-01-09,Premium,2025-03-10,active,True,60 days
T64686972118,15095,12.99,2025-03-13,Premium,2025-05-12,active,True,60 days
T60630686067,15096,4.99,2024-11-06,Student Plan,2024-12-06,active,True,30 days
T82832346870,15096,4.99,2024-12-11,Student Plan,2025-01-10,active,True,30 days
T99511422159,15096,4.99,2025-01-11,Student Plan,2025-02-10,active,True,30 days
T99520446452,15096,7.99,2025-02-14,Standard,2025-03-16,active,True,30 days
T95126434621,15097,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T81162052374,15097,12.99,2025-01-07,Premium,2025-03-08,active,True,60 days
T53626492857,15097,12.99,2025-03-10,Premium,2025-05-09,active,True,60 days
T57116855281,15098,4.99,2024-11-06,Student Plan,2024-12-06,active,True,30 days
T74783150145,15098,4.99,2024-12-11,Student Plan,2025-01-10,active,True,30 days
T61129117250,15098,12.99,2025-01-12,Premium,2025-03-13,active,True,60 days
T70216549572,15099,4.99,2024-11-06,Student Plan,2024-12-06,active,True,30 days
T72053493297,15099,4.99,2024-12-10,Student Plan,2025-01-09,active,True,30 days
T51472331117,15099,4.99,2025-01-13,Student Plan,2025-02-12,active,True,30 days
T93009526674,15099,4.99,2025-02-17,Student Plan,2025-03-19,active,True,30 days
T71833565255,15100,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T52808656878,15100,7.99,2025-01-06,Standard,2025-02-05,churned,False,30 days
T98109266305,15101,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T98109266305,15101,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T57007002572,15101,7.99,2024-12-10,Standard,2025-01-09,active,True,30 days
T71634739971,15101,7.99,2025-01-10,Standard,2025-02-09,active,True,30 days
T93883672836,15101,7.99,2025-02-12,Standard,2025-03-14,active,True,30 days
T62436488560,15102,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T74468891189,15102,7.99,2025-01-07,Standard,2025-02-06,active,True,30 days
T72501445174,15102,7.99,2025-02-09,Standard,2025-03-11,active,True,30 days
T56850853945,15102,7.99,2025-03-13,Standard,2025-04-12,churned,False,30 days
T62812109125,15103,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T64033791309,15103,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T60455272464,15103,12.99,2025-03-09,Premium,2025-05-08,active,True,60 days
T67211983119,15104,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T67211983119,15104,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T81331281982,15104,7.99,2024-12-07,Standard,2025-01-06,active,True,30 days
T86242608800,15104,7.99,2025-01-09,Standard,2025-02-08,churned,False,30 days
T79017132223,15105,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T67927225850,15105,7.99,2024-12-09,Standard,2025-01-08,churned,False,30 days
T55311097601,15106,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T95268561009,15106,7.99,2024-12-09,Standard,2025-01-08,active,True,30 days
T94995096840,15106,7.99,2025-01-12,Standard,2025-02-11,churned,False,30 days
T89207295567,15107,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T94986227047,15107,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T70733790569,15107,12.99,2025-03-11,Premium,2025-05-10,active,True,60 days
T91592591092,15108,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T74459598765,15108,12.99,2024-12-09,Premium,2025-02-07,active,True,60 days
T97281669958,15108,12.99,2025-02-10,Premium,2025-04-11,active,True,60 days
T50682977355,15109,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T63489169518,15109,7.99,2025-01-08,Standard,2025-02-07,churned,False,30 days
T88050579069,15110,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T85264713566,15110,12.99,2025-01-07,Premium,2025-03-08,active,True,60 days
T98061019775,15110,12.99,2025-03-09,Premium,2025-05-08,active,True,60 days
T66816871796,15111,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T92423179606,15111,7.99,2024-12-10,Standard,2025-01-09,active,True,30 days
T93923914108,15111,7.99,2025-01-12,Standard,2025-02-11,active,True,30 days
T73775188825,15111,7.99,2025-02-16,Standard,2025-03-18,active,True,30 days
T81398879357,15112,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T51620509399,15112,12.99,2025-01-06,Premium,2025-03-07,active,True,60 days
T74847752912,15112,12.99,2025-03-08,Premium,2025-05-07,active,True,60 days
T84033325173,15113,12.99,2024-11-06,Premium,2025-01-05,active,True,60 days
T79445898203,15113,7.99,2025-01-06,Standard,2025-02-05,active,True,30 days
T76294235105,15113,7.99,2025-02-10,Standard,2025-03-12,active,True,30 days
T92243161525,15114,7.99,2024-11-06,Standard,2024-12-06,active,True,30 days
T55305955622,15114,7.99,2024-12-11,Standard,2025-01-10,active,True,30 days
T86228109633,15114,7.99,2025-01-14,Standard,2025-02-13,active,True,30 days
T65084061635,15114,7.99,2025-02-14,Standard,2025-03-16,active,True,30 days
T50294315542,15115,12.99,2024-11-07,Premium,2025-01-06,active,True,60 days
T66862062984,15115,7.99,2025-01-08,Standard,2025-02-07,churned,False,30 days
T94041124539,15116,7.99,2024-11-07,Standard,2024-12-07,active,True,30 days
T93755010235,15116,12.99,2024-12-12,Premium,2025-02-10,active,True,60 days
T53388751284,15116,7.99,2025-02-15,Standard,2025-03-17,active,True,30 days
T63077759815,15117,7.99,2024-11-07,Standard,2024-12-07,active,True,30 days
T84415258963,15117,7.99,2024-12-12,Standard,2025-01-11,active,True,30 days
T74371328498,15117,7.99,2025-01-16,Standard,2025-02-15,active,True,30 days
T68047576310,15117,12.99,2025-02-17,Premium,2025-04-18,active,True,60 days
T52304584743,15118,7.99,2024-11-07,Standard,2024-12-07,churned,False,30 days
T95238406042,15119,7.99,2024-11-07,Standard,2024-12-07,active,True,30 days
T98084568850,15119,7.99,2024-12-11,Standard,2025-01-10,active,True,30 days
