rating_id,user_id,movie_id,rating,review_date,year_month,title
R10035,15002,2817,3.5,2024-11-04,2024-11,Harry Potter and the Order of the Phoenix
R10036,15000,3787,5.0,2024-11-04,2024-11,Real Steel
R10037,15002,1314,4.0,2024-11-04,2024-11,All the Money in the World
R10038,15063,3150,5.0,2024-11-04,2024-11,Footloose
R10039,15059,2421,2.5,2024-11-05,2024-11,"Lust, Caution"
R10040,15040,1698,5.0,2024-11-05,2024-11,The Goonies
R10041,15054,3904,5.0,2024-11-05,2024-11,Airborne
R10042,15021,3000,2.5,2024-11-05,2024-11,Forrest Gump
R10043,15024,1834,5.0,2024-11-05,2024-11,My Neighbor Totoro
R10044,15077,296,2.5,2024-11-05,2024-11,Underworld
R10045,15095,1191,0.0,2024-11-05,2024-11,Darkest Hour
R10046,15030,4177,2.5,2024-11-05,2024-11,Sand Castle
R10047,15061,4094,4.0,2024-11-05,2024-11,Medieval
R10048,15007,4049,3.5,2024-11-05,2024-11,Eyes Wide Shut
R10049,15000,331,4.0,2024-11-05,2024-11,Stargate
R10050,15110,3439,4.0,2024-11-06,2024-11,Barbarella
R10051,15002,3681,5.0,2024-11-06,2024-11,Tomorrowland
R10052,15095,447,4.0,2024-11-06,2024-11,The Lost City
R10053,15035,3283,5.0,2024-11-06,2024-11,Never Let Me Go
R10054,15007,1529,4.0,2024-11-06,2024-11,Game Night
R10055,15004,194,4.5,2024-11-06,2024-11,Con Air
R10056,15052,45,5.0,2024-11-06,2024-11,Violent Night
R10057,15049,472,3.5,2024-11-06,2024-11,The Bad Guys
R10058,15085,673,5.0,2024-11-06,2024-11,X-Men: Apocalypse
R10059,15020,2027,4.5,2024-11-06,2024-11,Roald Dahl's Matilda the Musical
R10060,15015,1406,3.5,2024-11-06,2024-11,Road to Perdition
R10061,15056,823,5.0,2024-11-06,2024-11,Ice Age
R10062,15077,3816,4.5,2024-11-07,2024-11,Bloodsport
R10063,15005,62,4.0,2024-11-07,2024-11,Dunkirk
R10064,15101,3710,5.0,2024-11-07,2024-11,It Comes at Night
R10065,15104,1510,5.0,2024-11-07,2024-11,The Equalizer 2
R10066,15030,2669,4.0,2024-11-07,2024-11,The Hunt
R10067,15061,1710,4.5,2024-11-07,2024-11,A Christmas Story
R10068,15073,3742,4.5,2024-11-07,2024-11,Creed II
R10069,15103,1369,4.0,2024-11-07,2024-11,"Three Billboards Outside Ebbing, Missouri"
R10070,15119,488,4.0,2024-11-07,2024-11,The Lion King
R10071,15130,2723,3.0,2024-11-07,2024-11,Green Room
R10072,15072,1359,3.0,2024-11-07,2024-11,Shazam! Fury of the Gods
R10073,15040,4025,4.5,2024-11-07,2024-11,Sharper
R10074,15020,3673,3.5,2024-11-07,2024-11,Dragonball Evolution
R10075,15015,2720,3.0,2024-11-07,2024-11,Dracula Untold
R10076,15119,488,4.5,2024-11-07,2024-11,The Lion King
R10077,15023,1627,3.0,2024-11-07,2024-11,Spring Breakers
R10078,15073,1170,5.0,2024-11-07,2024-11,The Assassination of Jesse James by the Coward Robert Ford
R10079,15021,1991,4.5,2024-11-07,2024-11,Pattie et la colère de Poséidon
R10080,15112,3155,3.0,2024-11-07,2024-11,Downton Abbey: A New Era
R10081,15023,4105,4.0,2024-11-08,2024-11,Full Metal Jacket
R10082,15004,447,3.5,2024-11-08,2024-11,The Lost City
R10083,15107,516,4.5,2024-11-08,2024-11,Vacation
R10084,15030,3783,4.5,2024-11-08,2024-11,Cars 2
R10085,15078,1388,2.5,2024-11-08,2024-11,The Usual Suspects
R10086,15095,1150,4.0,2024-11-08,2024-11,Molly's Game
R10087,15030,1479,4.0,2024-11-08,2024-11,The Many Saints of Newark
R10088,15019,2479,4.0,2024-11-08,2024-11,"10,000 BC"
R10089,15134,446,5.0,2024-11-08,2024-11,Sing 2
R10090,15076,2855,5.0,2024-11-08,2024-11,Scream 4
R10091,15004,3533,5.0,2024-11-08,2024-11,Superman
R10092,15044,2817,4.0,2024-11-08,2024-11,Harry Potter and the Order of the Phoenix
R10093,15139,210,4.0,2024-11-08,2024-11,Aquaman
R10094,15000,1684,4.5,2024-11-08,2024-11,Deja Vu
R10095,15082,790,4.5,2024-11-08,2024-11,Tangled
R10096,15128,1727,5.0,2024-11-08,2024-11,Flushed Away
R10097,15099,1513,4.0,2024-11-08,2024-11,Hustlers
R10098,15004,4105,4.0,2024-11-08,2024-11,Full Metal Jacket
R10099,15024,2912,5.0,2024-11-08,2024-11,A Cure for Wellness
R10100,15107,3540,4.5,2024-11-08,2024-11,Face/Off
R10101,15085,3579,5.0,2024-11-08,2024-11,X-Men: Days of Future Past
R10102,15110,1302,4.0,2024-11-08,2024-11,Ed Wood
R10103,15022,2952,4.0,2024-11-08,2024-11,Goodnight Mommy
R10104,15126,982,4.5,2024-11-08,2024-11,Wish Dragon
R10105,15112,3871,5.0,2024-11-08,2024-11,Hard Ball
R10106,15094,737,4.0,2024-11-08,2024-11,The Mask of Zorro
R10107,15124,1229,3.0,2024-11-08,2024-11,The Dig
R10108,15094,3288,4.5,2024-11-08,2024-11,Romeo and Juliet
R10109,15040,1303,3.0,2024-11-09,2024-11,Changeling
R10110,15167,378,5.0,2024-11-09,2024-11,King Kong
R10111,15063,3932,3.5,2024-11-09,2024-11,Infinity Pool
R10112,15059,2418,5.0,2024-11-09,2024-11,In the Heart of the Sea
R10113,15099,488,4.0,2024-11-09,2024-11,The Lion King
R10114,15083,1433,4.5,2024-11-09,2024-11,Karen
R10115,15021,1665,1.5,2024-11-09,2024-11,Rambo: Last Blood
R10116,15021,4204,3.5,2024-11-09,2024-11,Benediction
R10117,15030,2912,1.0,2024-11-09,2024-11,A Cure for Wellness
R10118,15166,3172,4.5,2024-11-09,2024-11,The Little Mermaid
R10119,15115,636,4.0,2024-11-09,2024-11,"O Brother, Where Art Thou?"
R10120,15112,1347,3.5,2024-11-09,2024-11,Prisoners
R10121,15124,1294,2.0,2024-11-09,2024-11,Chaplin
R10122,15059,51,2.0,2024-11-09,2024-11,Independence Day
R10123,15115,3224,4.5,2024-11-09,2024-11,Ghost
R10124,15022,1011,5.0,2024-11-09,2024-11,Bedknobs and Broomsticks
R10125,15076,1597,3.5,2024-11-09,2024-11,22 Jump Street
R10126,15015,2418,4.0,2024-11-09,2024-11,In the Heart of the Sea
R10127,15021,2103,2.0,2024-11-09,2024-11,Shrek 2
R10128,15103,1084,3.5,2024-11-09,2024-11,Chariots of Fire
R10129,15063,552,4.5,2024-11-09,2024-11,The Adam Project
R10130,15145,3056,5.0,2024-11-09,2024-11,After
R10131,15052,2946,4.0,2024-11-09,2024-11,Cloud Atlas
R10132,15015,2825,3.5,2024-11-09,2024-11,Clue
R10133,15049,2268,5.0,2024-11-09,2024-11,My Neighbor Totoro
R10134,15130,187,5.0,2024-11-09,2024-11,Angel Has Fallen
R10135,15049,3169,4.5,2024-11-09,2024-11,The Phantom of the Opera
R10136,15072,1612,3.5,2024-11-09,2024-11,Solace
R10137,15021,2343,5.0,2024-11-09,2024-11,Last Action Hero
R10138,15054,2223,4.5,2024-11-09,2024-11,Monty Python and the Holy Grail
R10139,15107,3751,5.0,2024-11-09,2024-11,A League of Their Own
R10140,15141,3506,4.5,2024-11-09,2024-11,Doctor Strange
R10141,15079,1767,5.0,2024-11-09,2024-11,Enchanted
R10142,15104,4214,3.5,2024-11-09,2024-11,The Monuments Men
R10143,15030,650,5.0,2024-11-09,2024-11,The Man from Toronto
R10144,15020,3265,4.5,2024-11-09,2024-11,The Mask of Zorro
R10145,15020,1698,4.5,2024-11-09,2024-11,The Goonies
R10146,15154,4025,3.5,2024-11-09,2024-11,Sharper
R10147,15098,2407,4.5,2024-11-09,2024-11,Munich
R10148,15081,2855,4.0,2024-11-09,2024-11,Scream 4
R10149,15005,4025,4.0,2024-11-09,2024-11,Sharper
R10150,15017,799,5.0,2024-11-09,2024-11,DC League of Super-Pets
R10151,15136,3061,4.0,2024-11-09,2024-11,Cast Away
R10152,15107,3859,5.0,2024-11-10,2024-11,Sidekicks
R10153,15110,126,4.0,2024-11-10,2024-11,Oblivion
R10154,15020,1665,4.0,2024-11-10,2024-11,Rambo: Last Blood
R10155,15158,3871,4.5,2024-11-10,2024-11,Hard Ball
R10156,15020,4105,4.5,2024-11-10,2024-11,Full Metal Jacket
R10157,15085,917,3.5,2024-11-10,2024-11,Onward
R10158,15000,1531,5.0,2024-11-10,2024-11,Man on Fire
R10159,15175,1294,4.0,2024-11-10,2024-11,Chaplin
R10160,15007,3150,4.5,2024-11-10,2024-11,Footloose
R10161,15183,1495,4.0,2024-11-10,2024-11,Fast Five
R10162,15035,2027,4.0,2024-11-10,2024-11,Roald Dahl's Matilda the Musical
R10163,15152,1471,4.0,2024-11-10,2024-11,Den of Thieves
R10164,15072,4212,4.0,2024-11-10,2024-11,Black Crab
R10165,15120,1341,4.0,2024-11-10,2024-11,Luther: The Fallen Sun
R10166,15079,3932,4.5,2024-11-10,2024-11,Infinity Pool
R10167,15105,109,4.0,2024-11-10,2024-11,The Terminator
R10168,15158,2289,4.0,2024-11-10,2024-11,How to Train Your Dragon: The Hidden World
R10169,15120,1732,3.5,2024-11-10,2024-11,Beauty and the Beast
R10170,15073,2487,4.5,2024-11-10,2024-11,Changeling
R10171,15095,2132,4.5,2024-11-10,2024-11,Tangled
R10172,15059,1140,4.0,2024-11-10,2024-11,"Girl, Interrupted"
R10173,15083,2015,3.0,2024-11-10,2024-11,Teen Wolf: The Movie
R10174,15072,2817,2.0,2024-11-10,2024-11,Harry Potter and the Order of the Phoenix
R10175,15173,4025,4.0,2024-11-10,2024-11,Sharper
R10176,15077,799,4.5,2024-11-10,2024-11,DC League of Super-Pets
R10177,15128,41,5.0,2024-11-10,2024-11,John Wick
R10178,15139,1412,4.0,2024-11-10,2024-11,The Hateful Eight
R10179,15086,224,4.0,2024-11-10,2024-11,Star Wars: Episode V - The Empire Strikes Back
R10180,15021,2863,4.5,2024-11-10,2024-11,The Thing
R10181,15077,3626,5.0,2024-11-10,2024-11,Planet of the Apes
R10182,15168,631,4.5,2024-11-10,2024-11,Mortal Kombat
R10183,15119,2140,4.0,2024-11-10,2024-11,Willy Wonka & the Chocolate Factory
R10184,15052,2408,4.0,2024-11-10,2024-11,Silence
R10185,15085,965,5.0,2024-11-10,2024-11,James and the Giant Peach
R10186,15167,462,3.5,2024-11-10,2024-11,GoldenEye
R10187,15158,4225,4.0,2024-11-10,2024-11,Tears of the Sun
R10188,15178,2812,3.5,2024-11-10,2024-11,Eyes Wide Shut
R10189,15094,4221,3.5,2024-11-10,2024-11,Letters from Iwo Jima
R10190,15023,2027,3.5,2024-11-10,2024-11,Roald Dahl's Matilda the Musical
R10191,15179,4049,4.0,2024-11-10,2024-11,Eyes Wide Shut
R10192,15175,2041,3.5,2024-11-10,2024-11,About Time
R10193,15049,3232,4.5,2024-11-10,2024-11,Mr. Nobody
R10194,15115,896,4.5,2024-11-10,2024-11,Bolt
R10195,15172,4177,3.0,2024-11-10,2024-11,Sand Castle
R10196,15095,2803,3.0,2024-11-10,2024-11,The Little Things
R10197,15074,2563,2.0,2024-11-11,2024-11,Ready or Not
R10198,15072,270,4.5,2024-11-11,2024-11,The Karate Kid
R10199,15002,3040,5.0,2024-11-11,2024-11,The Lobster
R10200,15095,1006,5.0,2024-11-11,2024-11,Whisper of the Heart
R10201,15103,219,5.0,2024-11-11,2024-11,Spider-Man: Homecoming
R10202,15020,3977,4.5,2024-11-11,2024-11,F9: The Fast Saga
R10203,15017,109,4.5,2024-11-11,2024-11,The Terminator
R10204,15023,1105,4.0,2024-11-11,2024-11,The Intouchables
R10205,15015,3000,3.5,2024-11-11,2024-11,Forrest Gump
R10206,15202,2842,5.0,2024-11-11,2024-11,Divergent
R10207,15019,1170,4.5,2024-11-11,2024-11,The Assassination of Jesse James by the Coward Robert Ford
R10208,15124,62,2.5,2024-11-11,2024-11,Dunkirk
R10209,15199,4008,4.5,2024-11-11,2024-11,Kingsman: The Golden Circle
R10210,15052,2992,1.5,2024-11-11,2024-11,Love
R10211,15021,631,4.0,2024-11-11,2024-11,Mortal Kombat
R10212,15061,2722,3.0,2024-11-11,2024-11,From Beyond
R10213,15049,3579,4.5,2024-11-11,2024-11,X-Men: Days of Future Past
R10214,15110,2584,3.0,2024-11-11,2024-11,Orphan
R10215,15078,1433,4.5,2024-11-11,2024-11,Karen
R10216,15078,2882,5.0,2024-11-11,2024-11,Oldboy
R10217,15094,4018,4.0,2024-11-11,2024-11,Irreversible
R10218,15074,2315,5.0,2024-11-11,2024-11,The Munsters
R10219,15094,378,4.5,2024-11-11,2024-11,King Kong
R10220,15202,2046,3.5,2024-11-11,2024-11,The Princess Bride
R10221,15030,2401,4.0,2024-11-11,2024-11,Mary Queen of Scots
R10222,15178,2882,5.0,2024-11-11,2024-11,Oldboy
R10223,15154,194,5.0,2024-11-11,2024-11,Con Air
R10224,15173,2289,5.0,2024-11-11,2024-11,How to Train Your Dragon: The Hidden World
R10225,15192,1769,5.0,2024-11-11,2024-11,Soul
R10226,15015,2281,5.0,2024-11-11,2024-11,Hatching
R10227,15072,683,4.5,2024-11-11,2024-11,Captain America: The Winter Soldier
R10228,15150,4061,4.5,2024-11-11,2024-11,Marlowe
R10229,15165,3409,4.5,2024-11-11,2024-11,Divergent
R10230,15020,3778,2.5,2024-11-11,2024-11,The Replacements
R10231,15072,3613,5.0,2024-11-12,2024-11,Spider-Man 2
R10232,15179,2247,4.5,2024-11-12,2024-11,What Happened to Monday
R10233,15052,3844,3.0,2024-11-12,2024-11,Rudy
R10234,15095,2663,2.5,2024-11-12,2024-11,Escape Room
R10235,15023,950,5.0,2024-11-12,2024-11,The Secret World of Arrietty
R10236,15077,3637,5.0,2024-11-12,2024-11,Killer Klowns from Outer Space
R10237,15145,366,5.0,2024-11-12,2024-11,Venom: Let There Be Carnage
R10238,15178,3687,5.0,2024-11-12,2024-11,Coherence
R10239,15167,516,5.0,2024-11-12,2024-11,Vacation
R10240,15205,4063,4.5,2024-11-12,2024-11,John Wick: Chapter 2
R10241,15199,1294,4.5,2024-11-12,2024-11,Chaplin
R10242,15000,1909,5.0,2024-11-12,2024-11,Cars 3
R10243,15175,1561,4.5,2024-11-12,2024-11,Wanted
R10244,15094,507,4.5,2024-11-12,2024-11,Star Wars: The Rise Of Skywalker
R10245,15134,1014,3.5,2024-11-12,2024-11,Loving Vincent
R10246,15145,3629,3.0,2024-11-12,2024-11,Serenity
R10247,15078,2090,5.0,2024-11-12,2024-11,Beauty and the Beast
R10248,15023,86,4.5,2024-11-12,2024-11,The School for Good and Evil
R10249,15134,3141,4.5,2024-11-12,2024-11,Groundhog Day
R10250,15001,2289,4.5,2024-11-12,2024-11,How to Train Your Dragon: The Hidden World
R10251,15073,3778,5.0,2024-11-12,2024-11,The Replacements
R10252,15158,1137,4.5,2024-11-12,2024-11,Bank of Dave
R10253,15130,2450,3.5,2024-11-12,2024-11,The Other Boleyn Girl
R10254,15154,3844,3.5,2024-11-12,2024-11,Rudy
R10255,15099,857,5.0,2024-11-12,2024-11,FernGully: The Last Rainforest
R10256,15095,610,5.0,2024-11-12,2024-11,Slumberland
R10257,15056,1150,3.5,2024-11-12,2024-11,Molly's Game
R10258,15199,2669,2.5,2024-11-12,2024-11,The Hunt
R10259,15136,488,4.0,2024-11-12,2024-11,The Lion King
R10260,15213,3892,4.0,2024-11-12,2024-11,Fantasy Football
R10261,15081,472,5.0,2024-11-12,2024-11,The Bad Guys
R10262,15213,1013,5.0,2024-11-12,2024-11,The Rescuers Down Under
R10263,15095,2549,3.0,2024-11-12,2024-11,Creature from the Black Lagoon
R10264,15169,1620,4.0,2024-11-12,2024-11,Wild at Heart
R10265,15094,2663,3.0,2024-11-12,2024-11,Escape Room
R10266,15156,4225,4.5,2024-11-12,2024-11,Tears of the Sun
R10267,15105,2214,3.5,2024-11-12,2024-11,Highlander
R10268,15126,1147,4.0,2024-11-13,2024-11,Dog Day Afternoon
R10269,15017,1158,2.5,2024-11-13,2024-11,Lincoln
R10270,15085,447,5.0,2024-11-13,2024-11,The Lost City
R10271,15168,3148,4.5,2024-11-13,2024-11,Lolita
R10272,15171,1027,5.0,2024-11-13,2024-11,The Pagemaster
R10273,15193,4098,4.0,2024-11-13,2024-11,Life Is Beautiful
R10274,15112,662,4.0,2024-11-13,2024-11,The Parent Trap
R10275,15166,2113,5.0,2024-11-13,2024-11,Thor
R10276,15002,1081,5.0,2024-11-13,2024-11,Blonde
R10277,15179,3548,4.0,2024-11-13,2024-11,Escape Room
R10278,15022,4140,4.0,2024-11-13,2024-11,The English Patient
R10279,15054,3744,4.5,2024-11-13,2024-11,The Blind Side
R10280,15107,2723,3.5,2024-11-13,2024-11,Green Room
R10281,15168,3421,5.0,2024-11-13,2024-11,A Quiet Place Part II
R10282,15077,3757,4.0,2024-11-13,2024-11,Rocky Balboa
R10283,15015,2661,2.5,2024-11-13,2024-11,Sound of Silence
R10284,15086,2942,4.5,2024-11-13,2024-11,Birth
R10285,15178,1185,4.5,2024-11-13,2024-11,The Highwaymen
R10286,15220,2945,4.0,2024-11-13,2024-11,The Nun
R10287,15077,1170,0.0,2024-11-13,2024-11,The Assassination of Jesse James by the Coward Robert Ford
R10288,15004,2099,3.0,2024-11-13,2024-11,Howl's Moving Castle
R10289,15217,3738,5.0,2024-11-13,2024-11,Jerry Maguire
R10290,15039,2472,4.0,2024-11-13,2024-11,Across the Universe
R10291,15099,2066,5.0,2024-11-13,2024-11,Harry Potter and the Deathly Hallows: Part 1
R10292,15015,3627,5.0,2024-11-13,2024-11,Melancholia
R10293,15099,2041,4.5,2024-11-13,2024-11,About Time
R10294,15001,2825,4.0,2024-11-13,2024-11,Clue
R10295,15039,1701,5.0,2024-11-13,2024-11,Matilda
R10296,15104,2486,2.0,2024-11-13,2024-11,The Devils
R10297,15082,3410,4.0,2024-11-13,2024-11,Star Wars: Episode I - The Phantom Menace
R10298,15023,1107,3.5,2024-11-13,2024-11,Tetris
R10299,15156,140,5.0,2024-11-13,2024-11,Shazam!
R10300,15094,4200,5.0,2024-11-13,2024-11,Heartbreak Ridge
R10301,15077,2439,4.5,2024-11-13,2024-11,The Good Shepherd
R10302,15110,3742,5.0,2024-11-13,2024-11,Creed II
R10303,15119,1991,2.5,2024-11-13,2024-11,Pattie et la colère de Poséidon
R10304,15078,1175,3.5,2024-11-13,2024-11,Eat Pray Love
R10305,15104,1148,4.0,2024-11-13,2024-11,Argo
R10306,15024,2366,4.0,2024-11-13,2024-11,Kingdom of Heaven
R10307,15217,1607,4.5,2024-11-13,2024-11,Desperado
R10308,15225,4177,3.5,2024-11-13,2024-11,Sand Castle
R10309,15107,3953,2.5,2024-11-14,2024-11,Vengeance
R10310,15150,790,3.5,2024-11-14,2024-11,Tangled
R10311,15119,917,5.0,2024-11-14,2024-11,Onward
R10312,15211,1003,4.0,2024-11-14,2024-11,Hop
R10313,15105,4191,4.0,2024-11-14,2024-11,Ran
R10314,15115,2418,4.0,2024-11-14,2024-11,In the Heart of the Sea
R10315,15145,1255,4.0,2024-11-14,2024-11,The Last Emperor
R10316,15119,1208,4.5,2024-11-14,2024-11,Fighting with My Family
R10317,15209,913,2.0,2024-11-14,2024-11,The Addams Family
R10318,15044,2769,4.0,2024-11-14,2024-11,Scream
R10319,15125,3570,2.5,2024-11-14,2024-11,Project Wolf Hunting
R10320,15130,1636,4.5,2024-11-14,2024-11,Lawless
R10321,15061,1597,4.5,2024-11-14,2024-11,22 Jump Street
R10322,15225,4201,2.5,2024-11-14,2024-11,Australia
R10323,15056,1477,4.0,2024-11-14,2024-11,Ocean's Eleven
R10324,15056,650,2.5,2024-11-14,2024-11,The Man from Toronto
R10325,15019,2134,5.0,2024-11-14,2024-11,Beetlejuice
R10326,15112,3803,5.0,2024-11-14,2024-11,Never Back Down
R10327,15022,2882,5.0,2024-11-14,2024-11,Oldboy
R10328,15167,2806,5.0,2024-11-14,2024-11,Oldboy
R10329,15220,109,4.5,2024-11-14,2024-11,The Terminator
R10330,15213,2041,5.0,2024-11-14,2024-11,About Time
R10331,15125,3019,5.0,2024-11-14,2024-11,Past Lives
R10332,15213,2215,4.5,2024-11-14,2024-11,Coraline
R10333,15005,3224,2.5,2024-11-14,2024-11,Ghost
R10334,15194,321,5.0,2024-11-14,2024-11,Bad Boys for Life
R10335,15082,3779,4.5,2024-11-14,2024-11,Home Team
R10336,15005,1107,4.5,2024-11-14,2024-11,Tetris
R10337,15056,118,4.0,2024-11-14,2024-11,Red Sparrow
R10338,15023,2487,4.5,2024-11-14,2024-11,Changeling
R10339,15217,2842,4.0,2024-11-14,2024-11,Divergent
R10340,15168,454,5.0,2024-11-14,2024-11,Harry Potter and the Deathly Hallows: Part 2
R10341,15169,1148,4.0,2024-11-14,2024-11,Argo
R10342,15193,676,5.0,2024-11-14,2024-11,War
R10343,15167,2090,4.5,2024-11-14,2024-11,Beauty and the Beast
R10344,15110,513,3.5,2024-11-14,2024-11,Harry Potter and the Half-Blood Prince
R10345,15000,2380,4.0,2024-11-14,2024-11,21
R10346,15056,3783,5.0,2024-11-14,2024-11,Cars 2
R10347,15095,1135,4.0,2024-11-14,2024-11,Belfast
R10348,15072,1388,4.0,2024-11-14,2024-11,The Usual Suspects
R10349,15198,3578,4.5,2024-11-15,2024-11,Battleship
R10350,15094,3826,4.0,2024-11-15,2024-11,The Karate Kid Part II
R10351,15056,3949,4.0,2024-11-15,2024-11,Don't Worry Darling
R10352,15103,1482,4.0,2024-11-15,2024-11,The Sting
R10353,15158,135,3.5,2024-11-15,2024-11,Captain America: The First Avenger
R10354,15249,525,4.5,2024-11-15,2024-11,The Revenant
R10355,15110,3248,4.0,2024-11-15,2024-11,But I'm a Cheerleader
R10356,15005,109,5.0,2024-11-15,2024-11,The Terminator
R10357,15059,472,4.5,2024-11-15,2024-11,The Bad Guys
R10358,15166,3787,3.5,2024-11-15,2024-11,Real Steel
R10359,15020,1936,4.5,2024-11-15,2024-11,The Croods: A New Age
R10360,15030,2027,3.5,2024-11-15,2024-11,Roald Dahl's Matilda the Musical
R10361,15105,2761,4.5,2024-11-15,2024-11,Amsterdam
R10362,15193,3423,5.0,2024-11-15,2024-11,Mad God
R10363,15052,1530,3.5,2024-11-15,2024-11,American Gangster
R10364,15015,360,4.0,2024-11-15,2024-11,Deep Blue Sea
R10365,15112,2697,3.0,2024-11-15,2024-11,Spawn
R10366,15107,662,4.0,2024-11-15,2024-11,The Parent Trap
R10367,15078,570,4.0,2024-11-15,2024-11,The Hobbit: The Battle of the Five Armies
R10368,15178,2669,3.5,2024-11-15,2024-11,The Hunt
R10369,15044,2897,4.0,2024-11-15,2024-11,"I, Robot"
R10370,15165,507,4.5,2024-11-15,2024-11,Star Wars: The Rise Of Skywalker
R10371,15112,2323,4.5,2024-11-15,2024-11,Meet Cute
R10372,15198,2349,4.0,2024-11-15,2024-11,The Woman King
R10373,15020,3048,5.0,2024-11-15,2024-11,Three Thousand Years of Longing
R10374,15223,921,4.5,2024-11-15,2024-11,The Book of Life
R10375,15098,2626,2.5,2024-11-15,2024-11,Halloween Ends
R10376,15004,2315,4.5,2024-11-15,2024-11,The Munsters
R10377,15145,4160,1.0,2024-11-15,2024-11,The Bridge on the River Kwai
R10378,15165,1353,4.0,2024-11-15,2024-11,No Country for Old Men
R10379,15035,2663,3.0,2024-11-15,2024-11,Escape Room
R10380,15061,1433,4.5,2024-11-15,2024-11,Karen
R10381,15257,1175,3.5,2024-11-15,2024-11,Eat Pray Love
R10382,15168,3283,5.0,2024-11-15,2024-11,Never Let Me Go
R10383,15078,1134,3.5,2024-11-15,2024-11,The Pursuit of Happyness
R10384,15030,1909,4.5,2024-11-15,2024-11,Cars 3
R10385,15175,2640,2.0,2024-11-15,2024-11,We Have a Ghost
R10386,15168,1175,4.5,2024-11-15,2024-11,Eat Pray Love
R10387,15194,2531,4.0,2024-11-15,2024-11,Venus
R10388,15257,1226,4.5,2024-11-15,2024-11,Spencer
R10389,15072,1277,4.0,2024-11-15,2024-11,Benediction
R10390,15167,2730,3.0,2024-11-15,2024-11,The Conjuring: The Devil Made Me Do It
R10391,15101,420,2.5,2024-11-15,2024-11,Gladiator
R10392,15000,3031,4.0,2024-11-15,2024-11,Twilight
R10393,15167,1347,3.5,2024-11-15,2024-11,Prisoners
R10394,15059,2113,4.5,2024-11-15,2024-11,Thor
R10395,15119,3787,4.0,2024-11-15,2024-11,Real Steel
R10396,15002,1433,3.5,2024-11-15,2024-11,Karen
R10397,15178,1549,4.0,2024-11-15,2024-11,A Simple Favor
R10398,15063,650,4.0,2024-11-15,2024-11,The Man from Toronto
R10399,15256,631,4.5,2024-11-15,2024-11,Mortal Kombat
R10400,15259,1612,2.5,2024-11-15,2024-11,Solace
R10401,15259,2027,4.0,2024-11-15,2024-11,Roald Dahl's Matilda the Musical
R10402,15134,2697,5.0,2024-11-15,2024-11,Spawn
R10403,15175,1848,3.0,2024-11-15,2024-11,RV
R10404,15110,235,3.0,2024-11-15,2024-11,Star Wars: Episode VI - Return of the Jedi
R10405,15145,3278,3.5,2024-11-15,2024-11,Up in the Air
R10406,15110,1587,4.0,2024-11-15,2024-11,Body Heat
R10407,15099,4200,4.0,2024-11-15,2024-11,Heartbreak Ridge
R10408,15274,3057,5.0,2024-11-16,2024-11,West Side Story
R10409,15156,2549,2.5,2024-11-16,2024-11,Creature from the Black Lagoon
